,授業名,学年,期間,分類,教員名,曜日,コマ,場所,URL
0,日本事情Ａ,2,前期授業,外国語特別科目,徳永アン,金曜,４コマ,オンライン（中百舌鳥キャンパス）,http://www0.osakafu-u.ac.jp/syllabus/detail.aspx?CD=8968
1,日本事情Ｂ,1,前期授業,特例科目,大﨑桂子,木曜,３コマ,B3-609,http://www0.osakafu-u.ac.jp/syllabus/detail.aspx?CD=8969
2,日本語表現・読解(中級)I,1,後期授業,特例科目,大﨑桂子,木曜,３コマ,B3-609,http://www0.osakafu-u.ac.jp/syllabus/detail.aspx?CD=8970
3,日本語表現・読解(中級)II,1,前期授業,特例科目,播磨涼子,月曜,３コマ,B3-314,http://www0.osakafu-u.ac.jp/syllabus/detail.aspx?CD=8971
4,日本語会話(中級)I,1,後期授業,特例科目,播磨涼子,月曜,３コマ,B3-314,http://www0.osakafu-u.ac.jp/syllabus/detail.aspx?CD=8972
5,日本語会話(中級)II,1,前期授業,特例科目,播磨涼子,月曜,２コマ,B3-314,http://www0.osakafu-u.ac.jp/syllabus/detail.aspx?CD=8973
6,日本語表現・読解(上級)I,1,後期授業,特例科目,播磨涼子,月曜,２コマ,B3-314,http://www0.osakafu-u.ac.jp/syllabus/detail.aspx?CD=8974
7,日本語表現・読解(上級)II,1,前期授業,特例科目,大﨑桂子,木曜,２コマ,B3-609,http://www0.osakafu-u.ac.jp/syllabus/detail.aspx?CD=8975
8,日本語会話(上級)I,1,後期授業,特例科目,大﨑桂子,木曜,２コマ,B3-609,http://www0.osakafu-u.ac.jp/syllabus/detail.aspx?CD=8976
9,日本語会話(上級)II,1,前期授業,特例科目,播磨涼子,月曜,４コマ,B3-314,http://www0.osakafu-u.ac.jp/syllabus/detail.aspx?CD=8977
